Name,nc_state,degree,weightedDegree,betweenness,closeness,eigenvector,community
"Samayoa, L.F.",False,15.0,15.0,0.0,0.23549848165114004,2.7017452530490483e-08,7766
"Samayoa, Luis F.",False,10.0,15.0,0.9999999999999999,0.23201744377678052,1.731004591322007e-08,7766
"Sanchez, Daniel L.",False,11.0,15.0,6189.117666932781,0.22221412787450523,2.232342032963091e-09,7553
"Sarkodie-Addo, Joseph",False,15.0,15.0,0.0,0.24722409833851142,2.1576067577306415e-06,7304
"Schmitz, Oswald J.",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Schwartz, Brian M.",False,15.0,15.0,0.0,0.21257665861364058,3.079326109200278e-08,6823
"Seay, Alexander",False,15.0,15.0,0.0,0.21435431355555035,4.784394941108362e-09,5280
"Secor, Gary A.",False,15.0,15.0,0.0,0.22617399901136925,1.4321427533651065e-07,6794
"Selfa, Theresa",False,15.0,15.0,0.0,0.2257165408711953,3.3698980924407815e-08,7223
"Semenov, Misha",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Sichitiu, Mihail",True,7.0,15.0,721.9901586282158,0.26232656805412224,3.847393951074334e-06,5073
"Sikes, Tiffany R.",False,15.0,15.0,0.0,0.26660645612399486,3.997463094925386e-06,764
"Silberg, Timothy",False,15.0,15.0,0.0,0.2257165408711953,3.3698980924407815e-08,7223
"Silva, Rafael Luiz",False,13.0,15.0,531.3339331294811,0.25424388075459114,3.928847899576935e-06,5073
"Sims, Kira C.",False,5.0,15.0,0.0,0.24588225810785394,1.0661437910688604e-06,3634
"Singh, Maninder Pal",False,15.0,15.0,0.0,0.23120262758969176,4.599844392537648e-06,7304
"Song, Kuncheng",True,15.0,15.0,0.0,0.26660645612399486,3.997463094925386e-06,764
"Southall, Hannah G.",False,15.0,15.0,0.0,0.5477707006369427,1.0512309858175321e-18,1214
"Spannring, Peter",False,15.0,15.0,0.0,0.5172413793103449,5.440858154648798e-15,2620
"Stagnati, Lorenzo",False,10.0,15.0,0.9999999999999999,0.23201744377678052,1.731004591322007e-08,7766
"Standish, Jeff",True,12.0,15.0,319.15572341851055,0.23548636129696346,8.039932340193238e-06,9231
"Strickler, Susan R.",False,15.0,15.0,0.0,0.23901687300841037,1.477167404694059e-08,5942
"Strohmaier, Jason M.",True,15.0,15.0,0.0,0.24250695640651915,3.9660511735407635e-06,5073
"Tabor, Jordan",True,10.0,15.0,0.0,0.23730000259315925,3.7325134772159675e-06,5073
"Takahashi, Bruno",False,15.0,15.0,0.0,0.2257165408711953,3.3698980924407815e-08,7223
"Tan, Juzhong",False,12.0,15.0,16.5,0.19450762003953492,3.7808132799367227e-10,5541
"Thannhauser, Theodore W.",False,15.0,15.0,0.0,0.23901687300841037,1.477167404694059e-08,5942
"Theriot, Casey M.",False,13.0,15.0,6.0,0.23405887919789242,2.7620894840046817e-08,8957
"Thompson, Brendan",False,10.0,15.0,0.0,0.23730000259315925,3.7325134772159675e-06,5073
"Thompson, Paul B.",False,15.0,15.0,0.0,0.2257165408711953,3.3698980924407815e-08,7223
"Timokhin, Vitaliy I.",False,15.0,15.0,0.0,0.21833842336323725,6.345195086159464e-09,4777
"Tong, Zhaohui",False,10.0,15.0,1506.499293659756,0.2126804099751319,3.669360885973688e-09,7553
"Townsend, Laura",False,15.0,15.0,0.0,0.24219887250880026,6.204129903276668e-08,4777
"Trueblood, Jessica M.",False,15.0,15.0,0.0,0.22019827710669426,2.447787843114732e-07,5280
"Tuinstra, Mitchell R.",False,15.0,15.0,0.0,0.234960330705831,2.7947470171015856e-08,7766
"Twilley, Barbara",False,15.0,15.0,0.0,0.5477707006369427,1.0512309858175321e-18,1214
"Van De Cotte, Brigitte",False,15.0,15.0,0.0,0.26660645612399486,3.997463094925386e-06,764
"Van Deynze, Allen E.",False,15.0,15.0,0.0,0.23901687300841037,1.477167404694059e-08,5942
"Van Doorsselaere, Jan",False,15.0,15.0,0.0,0.21833842336323725,6.345195086159464e-09,4777
"Vanholme, Ruben",False,15.0,15.0,0.0,0.21833842336323725,6.345195086159464e-09,4777
"Velayati, Alireza",True,13.0,15.0,238.16279440393714,0.23921681392795524,1.3264989350156783e-07,6794
"Vigliotti, Vivian S.",False,15.0,15.0,0.0,0.2257165408711953,3.5133147478296045e-08,7223
"Villani, Sara",True,13.0,15.0,299.89620350652996,0.1769848177158882,2.156748939984033e-10,2384
"Vries, Lisanne",False,15.0,15.0,0.0,0.21833842336323725,6.345195086159464e-09,4777
"Vu, Thi Ha Giang",False,15.0,15.0,0.0,0.2378798513088461,3.39510293146188e-08,4777
"Wang, Xiao-Ru",False,15.0,15.0,0.0,0.2378798513088461,3.39510293146188e-08,4777
"Wang, Yigui",False,10.0,15.0,1506.499293659756,0.2126804099751319,3.669360885973688e-09,7553
"Wang, Zhuonan",False,10.0,15.0,4252.956966099499,0.19797931720825582,4.741449493866679e-06,3916
"Wegrzyn, Jill L.",False,15.0,15.0,0.0,0.24219887250880026,6.204129903276668e-08,4777
